Time 	as_src 	ip_dst 	ip_src 	port_dst 	port_src 
"November 5th 2015, 02:50:03.492"	"263,925"	REDACTED	177.155.167.22	"25,683"	53
"November 5th 2015, 02:50:03.492"	0	REDACTED	80.249.209.197	"40,929"	179
"November 5th 2015, 02:50:03.493"	"17,974"	REDACTED	222.124.36.242	"32,498"	53
"November 5th 2015, 02:50:03.494"	"22,368"	REDACTED	186.183.159.122	"6,446"	53
"November 5th 2015, 02:50:03.494"	"19,332"	REDACTED	201.168.21.65	0	0
"November 5th 2015, 02:50:03.495"	"17,974"	REDACTED	118.97.194.34	"60,656"	53
"November 5th 2015, 02:50:03.496"	"42,936"	REDACTED	91.193.65.170	"6,040"	53
"November 5th 2015, 02:50:03.496"	"44,248"	REDACTED	195.93.149.14	"2,555"	53
"November 5th 2015, 02:50:03.497"	"17,222"	REDACTED	177.124.225.105	"23,452"	53
"November 5th 2015, 02:50:03.497"	"10,617"	REDACTED	200.81.185.54	"51,707"	53
"November 5th 2015, 02:50:03.498"	"51,034"	REDACTED	94.137.223.122	"39,245"	53
"November 5th 2015, 02:50:03.499"	"28,624"	REDACTED	201.33.52.30	"48,039"	53
"November 5th 2015, 02:50:03.499"	"22,368"	REDACTED	186.183.159.138	"4,581"	53
"November 5th 2015, 02:50:03.501"	"4,788"	REDACTED	1.9.201.130	"64,122"	53
"November 5th 2015, 02:50:03.502"	"28,032"	REDACTED	191.97.48.146	"42,255"	53
"November 5th 2015, 02:50:03.505"	"34,896"	REDACTED	85.15.113.56	"17,334"	53
"November 5th 2015, 02:50:03.505"	"24,176"	REDACTED	101.53.7.14	"40,892"	53
"November 5th 2015, 02:50:03.506"	"45,284"	REDACTED	121.200.49.9	"26,510"	53
"November 5th 2015, 02:50:03.506"	"49,350"	REDACTED	178.218.105.126	"42,075"	53
"November 5th 2015, 02:50:03.507"	"4,788"	REDACTED	203.106.166.218	0	0
"November 5th 2015, 02:50:03.508"	"24,323"	REDACTED	45.64.133.34	"4,817"	53
"November 5th 2015, 02:50:03.508"	"10,429"	REDACTED	200.205.43.242	0	0
"November 5th 2015, 02:50:03.509"	"15,311"	REDACTED	186.103.145.132	"56,264"	53
"November 5th 2015, 02:50:03.510"	"19,332"	REDACTED	200.39.114.65	0	0
"November 5th 2015, 02:50:03.510"	"31,257"	REDACTED	94.73.203.65	"26,182"	53
"November 5th 2015, 02:50:03.511"	"58,219"	REDACTED	46.151.64.13	0	0
"November 5th 2015, 02:50:03.512"	"17,754"	REDACTED	175.101.85.33	0	0
"November 5th 2015, 02:50:03.514"	"17,974"	REDACTED	36.81.2.108	0	0
"November 5th 2015, 02:50:03.515"	"30,982"	REDACTED	80.248.73.254	"45,413"	53
"November 5th 2015, 02:50:03.516"	"49,544"	REDACTED	188.122.85.20	"38,515"	53
"November 5th 2015, 02:50:03.518"	"17,974"	REDACTED	180.250.246.35	"39,429"	53
"November 5th 2015, 02:50:03.519"	"15,311"	REDACTED	200.113.181.211	0	0
"November 5th 2015, 02:50:03.519"	"39,229"	REDACTED	78.29.82.229	"61,520"	53
"November 5th 2015, 02:50:03.520"	"132,519"	REDACTED	103.245.33.113	"13,182"	53
"November 5th 2015, 02:50:03.521"	"41,560"	REDACTED	176.222.250.228	"11,974"	53
"November 5th 2015, 02:50:03.521"	"34,896"	REDACTED	85.15.67.91	0	0
"November 5th 2015, 02:50:03.522"	"15,311"	REDACTED	186.103.154.11	"35,093"	53
"November 5th 2015, 02:50:03.523"	"263,655"	REDACTED	177.104.124.17	0	0
"November 5th 2015, 02:50:03.523"	"26,619"	REDACTED	190.90.161.225	"56,253"	53
"November 5th 2015, 02:50:03.525"	"23,947"	REDACTED	103.233.159.141	"43,222"	53
"November 5th 2015, 02:50:03.525"	"26,615"	REDACTED	179.34.30.191	0	0
"November 5th 2015, 02:50:03.526"	"31,556"	REDACTED	213.174.17.147	"11,915"	53
"November 5th 2015, 02:50:03.527"	"31,549"	REDACTED	151.238.145.161	"32,857"	53
"November 5th 2015, 02:50:03.528"	"15,311"	REDACTED	186.103.154.11	"54,257"	53
"November 5th 2015, 02:50:03.528"	"23,673"	REDACTED	124.248.177.105	0	0
"November 5th 2015, 02:50:03.529"	"31,130"	REDACTED	62.182.169.35	0	0
"November 5th 2015, 02:50:03.529"	"27,765"	REDACTED	190.90.146.126	0	0
"November 5th 2015, 02:50:03.530"	"30,982"	REDACTED	80.248.67.198	"43,790"	53
"November 5th 2015, 02:50:03.531"	"17,974"	REDACTED	118.97.145.98	0	0
"November 5th 2015, 02:50:03.533"	"33,070"	REDACTED	98.129.237.13	0	0
"November 5th 2015, 02:50:03.534"	"12,252"	REDACTED	190.116.62.36	0	0
"November 5th 2015, 02:50:03.535"	"22,368"	REDACTED	186.183.185.210	"60,672"	53
"November 5th 2015, 02:50:03.536"	"4,788"	REDACTED	175.144.212.97	"19,777"	53
"November 5th 2015, 02:50:03.537"	"17,974"	REDACTED	118.97.197.76	"18,900"	53
"November 5th 2015, 02:50:03.539"	"24,323"	REDACTED	203.202.248.22	"57,274"	53
"November 5th 2015, 02:50:03.539"	"131,178"	REDACTED	103.12.160.98	"58,473"	53
"November 5th 2015, 02:50:03.541"	"51,009"	REDACTED	83.166.96.24	"15,417"	53
"November 5th 2015, 02:50:03.542"	"4,788"	REDACTED	175.139.54.248	"41,666"	53
"November 5th 2015, 02:50:03.542"	"131,178"	REDACTED	103.12.161.160	"63,611"	53
"November 5th 2015, 02:50:03.543"	"34,676"	REDACTED	89.221.224.20	"29,664"	53
"November 5th 2015, 02:50:03.548"	"22,368"	REDACTED	186.183.159.178	"8,481"	53
"November 5th 2015, 02:50:03.552"	"57,388"	REDACTED	130.0.25.60	0	0
"November 5th 2015, 02:50:03.552"	"26,615"	REDACTED	186.229.64.232	0	0
"November 5th 2015, 02:50:03.552"	"34,192"	REDACTED	178.217.177.2	"43,535"	53
"November 5th 2015, 02:50:03.552"	"22,368"	REDACTED	181.174.60.170	"11,119"	53
"November 5th 2015, 02:50:03.552"	"18,403"	REDACTED	118.70.81.149	"48,987"	53
"November 5th 2015, 02:50:03.552"	"4,270"	REDACTED	170.210.138.65	"59,199"	53
"November 5th 2015, 02:50:03.552"	"34,315"	REDACTED	151.237.225.189	"57,575"	53
"November 5th 2015, 02:50:03.556"	"198,509"	REDACTED	91.235.252.77	"14,776"	53
"November 5th 2015, 02:50:03.556"	"22,368"	REDACTED	186.183.184.106	"53,897"	53
"November 5th 2015, 02:50:03.556"	"28,745"	REDACTED	89.237.21.2	0	0
"November 5th 2015, 02:50:03.556"	"22,368"	REDACTED	186.183.184.10	"29,385"	53
"November 5th 2015, 02:50:03.556"	"57,388"	REDACTED	130.0.25.198	"31,219"	53
"November 5th 2015, 02:50:03.556"	"22,368"	REDACTED	186.183.184.114	"30,889"	53
"November 5th 2015, 02:50:03.557"	"23,947"	REDACTED	103.233.157.162	"1,969"	53
"November 5th 2015, 02:50:03.557"	"48,524"	REDACTED	94.190.20.212	"37,492"	53
"November 5th 2015, 02:50:03.558"	"17,222"	REDACTED	201.76.166.105	"57,335"	53
"November 5th 2015, 02:50:03.559"	"22,368"	REDACTED	186.183.184.122	"29,862"	53
"November 5th 2015, 02:50:03.559"	"28,624"	REDACTED	201.33.54.10	"2,637"	53
"November 5th 2015, 02:50:03.560"	"52,041"	REDACTED	176.118.224.156	"52,803"	53
"November 5th 2015, 02:50:03.561"	"201,039"	REDACTED	194.44.179.11	"17,374"	53
"November 5th 2015, 02:50:03.561"	"57,388"	REDACTED	130.0.30.29	"42,341"	53
"November 5th 2015, 02:50:03.562"	"19,151"	REDACTED	64.127.136.15	"47,770"	53
"November 5th 2015, 02:50:03.563"	"15,311"	REDACTED	186.103.132.155	"29,559"	53
"November 5th 2015, 02:50:03.563"	"24,406"	REDACTED	210.2.4.8	"17,636"	53
"November 5th 2015, 02:50:03.564"	"4,788"	REDACTED	203.106.99.1	"11,332"	53
"November 5th 2015, 02:50:03.565"	"24,186"	REDACTED	122.252.232.226	"55,287"	53
"November 5th 2015, 02:50:03.565"	"13,178"	REDACTED	145.255.43.143	"36,788"	53
"November 5th 2015, 02:50:03.566"	"13,188"	REDACTED	178.151.176.178	0	0
"November 5th 2015, 02:50:03.567"	"15,311"	REDACTED	186.103.221.138	"39,406"	53
"November 5th 2015, 02:50:03.567"	"15,311"	REDACTED	186.103.179.194	0	0
"November 5th 2015, 02:50:03.568"	"15,311"	REDACTED	186.103.220.245	"16,411"	53
"November 5th 2015, 02:50:03.568"	"19,332"	REDACTED	200.39.114.5	"42,231"	53
"November 5th 2015, 02:50:03.569"	"4,788"	REDACTED	175.139.181.123	"56,423"	53
"November 5th 2015, 02:50:03.570"	"34,251"	REDACTED	46.175.16.116	"41,395"	53
"November 5th 2015, 02:50:03.570"	"2,828"	REDACTED	216.4.37.126	"49,290"	53
"November 5th 2015, 02:50:03.571"	"17,483"	REDACTED	202.62.71.157	"11,111"	53
"November 5th 2015, 02:50:03.572"	"17,974"	REDACTED	180.250.53.146	"2,426"	53
"November 5th 2015, 02:50:03.572"	"263,655"	REDACTED	177.104.123.42	"38,416"	53
"November 5th 2015, 02:50:03.573"	"29,396"	REDACTED	90.145.134.142	"58,879"	53
"November 5th 2015, 02:50:03.574"	"21,483"	REDACTED	95.30.220.77	"26,562"	53
"November 5th 2015, 02:50:03.574"	"22,368"	REDACTED	186.183.165.156	"19,447"	53
"November 5th 2015, 02:50:03.575"	"17,974"	REDACTED	118.97.94.118	"3,882"	53
